logz logzerr logvol nlive logl logwt insert_order
-3.258333999369458496e+12 6.885835443519573975e+10 -3.750000000000002220e-01 2.000000000000000000e+02 -3.245140955046608398e+12 -3.245140955052284180e+12 4.799999999999999822e-01
-3.245140955052284180e+12 6.928506584039779663e+10 -3.800000000000002265e-01 2.000000000000000000e+02 -2.768282882852860840e+12 -2.768282882858541504e+12 8.100000000000000533e-01
-2.768282882858541504e+12 2.668328807500737000e+11 -3.850000000000002309e-01 2.000000000000000000e+02 -2.486087921321630859e+12 -2.486087921327316895e+12 1.889999999999999902e+00
-2.486087921327316895e+12 3.625004823232603149e+11 -3.900000000000002354e-01 2.000000000000000000e+02 -2.471070145372378906e+12 -2.471070145378069824e+12 1.919999999999999929e+00
-2.471070145378069824e+12 2.917845178221733398e+11 -3.950000000000002398e-01 2.000000000000000000e+02 -2.344422364970799316e+12 -2.344422364976495117e+12 4.400000000000000022e-01
-2.344422364976495117e+12 5.928113030766711426e+10 -4.000000000000002442e-01 2.000000000000000000e+02 -2.321101377351757324e+12 -2.321101377357458008e+12 6.899999999999999467e-01
-2.321101377357458008e+12 1.009828385981623459e+10 -4.050000000000002487e-01 2.000000000000000000e+02 -1.894476197383375977e+12 -1.894476197389081787e+12 7.399999999999999911e-01
-1.894476197389081787e+12 2.173384881296126099e+11 -4.100000000000002531e-01 2.000000000000000000e+02 -1.816784632734295166e+12 -1.816784632740006104e+12 1.530000000000000027e+00
-1.816784632740006104e+12 2.369103226151853638e+11 -4.150000000000002576e-01 2.000000000000000000e+02 -1.549077513433920654e+12 -1.549077513439636475e+12 1.620000000000000107e+00
-1.549077513439636475e+12 2.288250769301762390e+11 -4.200000000000002620e-01 2.000000000000000000e+02 -1.478163806467792236e+12 -1.478163806473512939e+12 1.469999999999999973e+00
-1.478163806473512939e+12 1.959951320809669876e+10 -4.250000000000002665e-01 2.000000000000000000e+02 -1.451014075275469238e+12 -1.451014075281195068e+12 1.610000000000000098e+00
-1.451014075281195068e+12 2.640075094139325333e+10 -4.300000000000002709e-01 2.000000000000000000e+02 -1.396301136885774902e+12 -1.396301136891505615e+12 1.780000000000000027e+00
-1.396301136891505615e+12 3.313152120276597214e+10 -4.350000000000002753e-01 2.000000000000000000e+02 -1.344634474333230469e+12 -1.344634474338966309e+12 4.299999999999999933e-01
-1.344634474338966309e+12 3.394591199529732132e+10 -4.400000000000002798e-01 2.000000000000000000e+02 -1.337743248931928467e+12 -1.337743248937669189e+12 4.400000000000000022e-01
-1.337743248937669189e+12 1.604138008140314674e+10 -4.450000000000002842e-01 2.000000000000000000e+02 -1.313311406037840088e+12 -1.313311406043585938e+12 1.639999999999999902e+00
-1.313311406043585938e+12 1.057929830405275726e+10 -4.500000000000002887e-01 2.000000000000000000e+02 -1.299485074558207031e+12 -1.299485074563957764e+12 1.080000000000000071e+00
-1.299485074563957764e+12 1.120771891272460365e+10 -4.550000000000002931e-01 2.000000000000000000e+02 -1.144440668411486816e+12 -1.144440668417242676e+12 1.639999999999999902e+00
-1.144440668417242676e+12 6.920862637462925720e+10 -4.600000000000002975e-01 2.000000000000000000e+02 -1.079449222379835327e+12 -1.079449222385596191e+12 8.299999999999999600e-01
-1.079449222385596191e+12 3.063726147228311539e+10 -4.650000000000003020e-01 2.000000000000000000e+02 -1.070737712059354736e+12 -1.070737712065120605e+12 1.770000000000000018e+00
-1.070737712065120605e+12 1.971831271291872787e+10 -4.700000000000003064e-01 2.000000000000000000e+02 -9.202107596592843018e+11 -9.202107596650551758e+11 3.499999999999999778e-01
-9.202107596650551758e+11 8.338644500096446228e+10 -4.750000000000003109e-01 2.000000000000000000e+02 -8.797035782462735596e+11 -8.797035782520493164e+11 1.320000000000000062e+00
-8.797035782520493164e+11 7.056207558525062561e+10 -4.800000000000003153e-01 2.000000000000000000e+02 -8.707712675463094482e+11 -8.707712675520902100e+11 1.429999999999999938e+00
-8.707712675520902100e+11 5.500974568466641998e+10 -4.850000000000003197e-01 2.000000000000000000e+02 -8.306476221658686523e+11 -8.306476221716544189e+11 4.899999999999999911e-01
-8.306476221716544189e+11 6.691891056255360413e+10 -4.900000000000003242e-01 2.000000000000000000e+02 -8.265884729964116211e+11 -8.265884730022023926e+11 2.300000000000000100e-01
-8.265884730022023926e+11 2.562837618447061920e+10 -4.950000000000003286e-01 2.000000000000000000e+02 -7.973216355873476562e+11 -7.973216355931434326e+11 6.300000000000000044e-01
